threshold,df_fraction,patient_auc,sensitivity_at_spec0p8,threshold_for_spec0p8,sensitivity_at_spec0p85,threshold_for_spec0p85,sensitivity_at_spec0p9,threshold_for_spec0p9
0.20500000000000002,0.18960244648318036,0.6634199134199135,0.38095238095238093,0.375,0.2857142857142857,0.395,0.19047619047619047,0.435
0.21,0.2079510703363914,0.6612554112554112,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.215,0.2079510703363914,0.6612554112554112,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.22,0.21712538226299688,0.6612554112554112,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.225,0.22629969418960236,0.6617965367965368,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.23,0.2324159021406727,0.6623376623376623,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.23500000000000001,0.24159021406727824,0.6617965367965368,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.24,0.24770642201834855,0.663961038961039,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.245,0.25076452599388377,0.663961038961039,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.25,0.25382262996941896,0.663961038961039,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.255,0.2691131498470948,0.6693722943722944,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.26,0.2874617737003058,0.663961038961039,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.265,0.2996941896024465,0.672077922077922,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.27,0.308868501529052,0.6704545454545454,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.275,0.3394495412844037,0.6617965367965368,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.28,0.3547400611620795,0.6590909090909091,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.28500000000000003,0.3700305810397554,0.6672077922077922,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.29,0.3853211009174312,0.66504329004329,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.295,0.40061162079510704,0.6590909090909091,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.3,0.4036697247706421,0.6617965367965368,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.305,0.4036697247706421,0.6617965367965368,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.31,0.4220183486238531,0.6661255411255411,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.315,0.46177370030581033,0.6655844155844156,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.32,0.47094801223241595,0.66504329004329,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.325,0.5045871559633027,0.66504329004329,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.33,0.5351681957186544,0.66504329004329,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.335,0.5504587155963302,0.6634199134199135,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.34,0.5779816513761468,0.6628787878787878,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.34500000000000003,0.6177370030581041,0.670995670995671,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.35000000000000003,0.6452599388379205,0.6688311688311688,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.355,0.6697247706422018,0.6688311688311688,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.36,0.7064220183486238,0.672077922077922,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.365,0.7400611620795108,0.6704545454545454,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.37,0.7798165137614679,0.6704545454545454,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
0.375,0.7951070336391438,0.6704545454545454,0.3333333333333333,0.38,0.2857142857142857,0.395,0.19047619047619047,0.435
