threshold,df_fraction,patient_auc,sensitivity_at_spec0p8,threshold_for_spec0p8,sensitivity_at_spec0p85,threshold_for_spec0p85,sensitivity_at_spec0p9,threshold_for_spec0p9
0.325,0.5198776758409785,0.7056277056277056,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.33,0.547400611620795,0.7023809523809523,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.335,0.5779816513761468,0.7186147186147186,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.34,0.5902140672782874,0.7164502164502164,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.34500000000000003,0.6177370030581042,0.7164502164502164,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.35000000000000003,0.6299694189602448,0.7142857142857143,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.355,0.6544342507645261,0.7115800865800865,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.36,0.6727828746177371,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.365,0.6880733944954129,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.37,0.7003058103975536,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.375,0.706422018348624,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.38,0.7186544342507646,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.385,0.7370030581039756,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.39,0.7645259938837922,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.395,0.7798165137614681,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.4,0.798165137614679,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.405,0.8226299694189603,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.41000000000000003,0.8470948012232417,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.41500000000000004,0.8685015290519879,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.42,0.8807339449541285,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.425,0.9051987767584099,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.43,0.9235474006116209,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.435,0.9418960244648319,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.44,0.9602446483180429,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.445,0.963302752293578,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.45,0.9694189602446484,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.455,0.9694189602446484,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.46,0.9724770642201835,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.465,0.9847094801223241,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.47000000000000003,0.9847094801223241,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.47500000000000003,0.9847094801223241,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.48,0.9877675840978593,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.485,0.9938837920489296,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.49,0.9938837920489296,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.495,0.9938837920489296,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
0.5,1.0,0.7094155844155844,0.47619047619047616,0.34500000000000003,0.42857142857142855,0.36,0.3333333333333333,0.375
