image_id,image_name,study_id,patient_id,patient_key,pair_key,frame_num,contrast,relative_path,file_exists,load_success,error_message,blur_score,brightness_mean,brightness_std,intensity_min,intensity_max,contrast_std,edge_density,width,height
img_fe796417a63a,mar2020_007_1_2.jpg,mar2020,007,mar2020_007,mar2020_007_1,1,darkfield,mar2020/mar2020_images/mar2020_007_1_2.jpg,True,True,,59.41329574584961,158.4374237060547,49.857521057128906,6.0,236.0,5.380103588104248,0.11444769965277778,4032,3024
img_9caf2f7706bd,mar2020_007_2_0.jpg,mar2020,007,mar2020_007,mar2020_007_2,2,brightfield,mar2020/mar2020_images/mar2020_007_2_0.jpg,True,True,,14.879475593566895,33.358516693115234,13.639958381652832,2.0,129.0,2.6381165981292725,0.036722819010416664,4032,3024
img_8357fa30237e,mar2020_007_2_2.jpg,mar2020,007,mar2020_007,mar2020_007_2,2,darkfield,mar2020/mar2020_images/mar2020_007_2_2.jpg,True,True,,33.112396240234375,156.87234497070312,52.31914138793945,1.0,240.0,4.710822582244873,0.11160843460648148,4032,3024
img_1e7d208e9837,mar2020_008_0_0.jpg,mar2020,008,mar2020_008,mar2020_008_0,0,brightfield,mar2020/mar2020_images/mar2020_008_0_0.jpg,True,True,,54.031639099121094,49.44436264038086,46.77302551269531,3.0,255.0,6.382732391357422,0.060610170717592594,4032,3024
img_5c18bb8002e0,mar2020_008_0_2.jpg,mar2020,008,mar2020_008,mar2020_008_0,0,darkfield,mar2020/mar2020_images/mar2020_008_0_2.jpg,True,True,,36.991554260253906,160.5428466796875,48.73109436035156,17.0,245.0,5.174819469451904,0.12519214771412038,4032,3024
img_3fe3ebca2486,mar2020_008_1_0.jpg,mar2020,008,mar2020_008,mar2020_008_1,1,brightfield,mar2020/mar2020_images/mar2020_008_1_0.jpg,True,True,,35.4649658203125,24.79043197631836,19.978240966796875,1.0,254.0,5.564064025878906,0.029541015625,4032,3024
img_a266e1ceed2b,mar2020_008_1_2.jpg,mar2020,008,mar2020_008,mar2020_008_1,1,darkfield,mar2020/mar2020_images/mar2020_008_1_2.jpg,True,True,,67.32508850097656,163.119140625,48.295650482177734,0.0,240.0,5.82428503036499,0.08082863136574074,4032,3024
img_f4fb9d996083,mar2020_008_2_0.jpg,mar2020,008,mar2020_008,mar2020_008_2,2,brightfield,mar2020/mar2020_images/mar2020_008_2_0.jpg,True,True,,5.396642684936523,15.664417266845703,5.070466995239258,0.0,243.0,1.6211577653884888,0.02679443359375,4032,3024
img_d96195a898f2,mar2020_008_2_2.jpg,mar2020,008,mar2020_008,mar2020_008_2,2,darkfield,mar2020/mar2020_images/mar2020_008_2_2.jpg,True,True,,14.529120445251465,161.0868377685547,50.97618865966797,0.0,242.0,3.0524823665618896,0.0953030056423611,4032,3024
img_f6e487330075,mar2020_009_0_0.jpg,mar2020,009,mar2020_009,mar2020_009_0,0,brightfield,mar2020/mar2020_images/mar2020_009_0_0.jpg,True,True,,129.3141632080078,64.40286254882812,46.858123779296875,9.0,255.0,7.474747180938721,0.0636867947048611,4032,3024
img_49d25771400c,mar2020_009_0_2.jpg,mar2020,009,mar2020_009,mar2020_009_0,0,darkfield,mar2020/mar2020_images/mar2020_009_0_2.jpg,True,True,,98.44564819335938,152.53250122070312,54.167091369628906,17.0,235.0,6.731643199920654,0.09916630497685185,4032,3024
img_494a4fea694a,mar2020_009_1_0.jpg,mar2020,009,mar2020_009,mar2020_009_1,1,brightfield,mar2020/mar2020_images/mar2020_009_1_0.jpg,True,True,,57.074615478515625,50.53724670410156,25.949539184570312,4.0,255.0,6.538261890411377,0.04922146267361111,4032,3024
img_7c790c1759f9,mar2020_009_1_2.jpg,mar2020,009,mar2020_009,mar2020_009_1,1,darkfield,mar2020/mar2020_images/mar2020_009_1_2.jpg,True,True,,95.38247680664062,155.8817596435547,47.551300048828125,14.0,237.0,6.8235650062561035,0.0969509548611111,4032,3024
img_ef5bff8faab3,mar2020_009_2_0.jpg,mar2020,009,mar2020_009,mar2020_009_2,2,brightfield,mar2020/mar2020_images/mar2020_009_2_0.jpg,True,True,,36.72699737548828,41.43511199951172,24.93040657043457,1.0,255.0,5.563496112823486,0.04543728298611111,4032,3024
img_b40d77e04726,mar2020_009_2_2.jpg,mar2020,009,mar2020_009,mar2020_009_2,2,darkfield,mar2020/mar2020_images/mar2020_009_2_2.jpg,True,True,,46.61574172973633,158.86453247070312,52.15134048461914,0.0,236.0,6.323412895202637,0.09304018373842593,4032,3024
img_b1ea9ae443ac,mar2020_010_0_0.jpg,mar2020,010,mar2020_010,mar2020_010_0,0,brightfield,mar2020/mar2020_images/mar2020_010_0_0.jpg,True,True,,14.389323234558105,43.45808792114258,45.548744201660156,2.0,255.0,2.9580204486846924,0.07049334490740741,4032,3024
img_cab9302096e0,mar2020_010_0_2.jpg,mar2020,010,mar2020_010,mar2020_010_0,0,darkfield,mar2020/mar2020_images/mar2020_010_0_2.jpg,True,True,,38.78355026245117,156.9788360595703,49.52935028076172,11.0,244.0,5.053493976593018,0.12272587528935185,4032,3024
img_a2bb8267466a,mar2020_010_1_0.jpg,mar2020,010,mar2020_010,mar2020_010_1,1,brightfield,mar2020/mar2020_images/mar2020_010_1_0.jpg,True,True,,77.77399444580078,16.192649841308594,14.237065315246582,1.0,254.0,7.196329593658447,0.03304714626736111,4032,3024
