path,record_type,issue,details
mar2020/mar2020_images/mar2020_008_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_008_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_008_1_2.jpg
mar2020/mar2020_images/mar2020_008_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_008_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_008_2_0.jpg
mar2020/mar2020_images/mar2020_008_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_008_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_008_2_2.jpg
mar2020/mar2020_images/mar2020_009_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_009_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_009_0_0.jpg
mar2020/mar2020_images/mar2020_009_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_009_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_009_0_2.jpg
mar2020/mar2020_images/mar2020_009_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_009_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_009_1_0.jpg
mar2020/mar2020_images/mar2020_009_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_009_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_009_1_2.jpg
mar2020/mar2020_images/mar2020_009_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_009_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_009_2_0.jpg
mar2020/mar2020_images/mar2020_009_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_009_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_009_2_2.jpg
mar2020/mar2020_images/mar2020_010_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_010_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_010_0_0.jpg
mar2020/mar2020_images/mar2020_010_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_010_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_010_0_2.jpg
mar2020/mar2020_images/mar2020_010_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_010_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_010_1_0.jpg
mar2020/mar2020_images/mar2020_010_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_010_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_010_1_2.jpg
mar2020/mar2020_images/mar2020_010_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_010_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_010_2_0.jpg
mar2020/mar2020_images/mar2020_010_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_010_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_010_2_2.jpg
mar2020/mar2020_images/mar2020_011_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_011_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_011_0_0.jpg
mar2020/mar2020_images/mar2020_011_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_011_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_011_0_2.jpg
mar2020/mar2020_images/mar2020_011_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_011_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_011_1_0.jpg
mar2020/mar2020_images/mar2020_011_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_011_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_011_1_2.jpg
mar2020/mar2020_images/mar2020_011_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_011_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_011_2_0.jpg
mar2020/mar2020_images/mar2020_011_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_011_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_011_2_2.jpg
mar2020/mar2020_images/mar2020_012_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_012_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_012_0_0.jpg
mar2020/mar2020_images/mar2020_012_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_012_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_012_0_2.jpg
mar2020/mar2020_images/mar2020_012_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_012_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_012_1_0.jpg
mar2020/mar2020_images/mar2020_012_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_012_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_012_1_2.jpg
mar2020/mar2020_images/mar2020_012_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_012_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_012_2_0.jpg
mar2020/mar2020_images/mar2020_012_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_012_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_012_2_2.jpg
mar2020/mar2020_images/mar2020_013_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_013_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_013_0_0.jpg
mar2020/mar2020_images/mar2020_013_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_013_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_013_0_2.jpg
mar2020/mar2020_images/mar2020_013_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_013_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_013_1_0.jpg
mar2020/mar2020_images/mar2020_013_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_013_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_013_1_2.jpg
mar2020/mar2020_images/mar2020_013_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_013_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_013_2_0.jpg
mar2020/mar2020_images/mar2020_013_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_013_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_013_2_2.jpg
mar2020/mar2020_images/mar2020_014_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_014_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_014_0_0.jpg
mar2020/mar2020_images/mar2020_014_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_014_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_014_0_2.jpg
mar2020/mar2020_images/mar2020_014_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_014_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_014_1_0.jpg
mar2020/mar2020_images/mar2020_014_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_014_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_014_1_2.jpg
mar2020/mar2020_images/mar2020_014_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_014_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_014_2_0.jpg
mar2020/mar2020_images/mar2020_014_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_014_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_014_2_2.jpg
mar2020/mar2020_images/mar2020_015_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_015_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_015_0_0.jpg
mar2020/mar2020_images/mar2020_015_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_015_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_015_0_2.jpg
mar2020/mar2020_images/mar2020_015_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_015_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_015_1_0.jpg
mar2020/mar2020_images/mar2020_015_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_015_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_015_1_2.jpg
mar2020/mar2020_images/mar2020_015_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_015_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_015_2_0.jpg
mar2020/mar2020_images/mar2020_015_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_015_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_015_2_2.jpg
mar2020/mar2020_images/mar2020_016_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_016_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_016_0_0.jpg
mar2020/mar2020_images/mar2020_016_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_016_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_016_0_2.jpg
mar2020/mar2020_images/mar2020_016_1_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_016_1_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_016_1_0.jpg
mar2020/mar2020_images/mar2020_016_1_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_016_1_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_016_1_2.jpg
mar2020/mar2020_images/mar2020_016_2_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_016_2_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_016_2_0.jpg
mar2020/mar2020_images/mar2020_016_2_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_016_2_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_016_2_2.jpg
mar2020/mar2020_images/mar2020_017_0_0.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_017_0_0.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_017_0_0.jpg
mar2020/mar2020_images/mar2020_017_0_2.jpg,image,duplicate_image_name,Kept canonical file for key 'mar2020_017_0_2.jpg' and ignored duplicate copies: mar2020/mar2020/mar2020_images/mar2020_017_0_2.jpg
